"Endpoint","Method","DataClasses","AuthorizationPolicy","IncludedSensitiveFields","ExcludedSensitiveFields","RedactionVerified","AuditCoverageVerified","Reviewer","ReviewDateUtc","Decision","RiskTier","RiskScore","Owner","DueDateUtc","RemediationStatus","EvidenceRef","Notes"
"/api/v1/admin/streaming/start","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Closed","High","10","Security Engineering","2026-07-21","Closed","EV-ENDP-0001","RiskTier=High; RiskScore=10; MatrixStatus=Pending; Source line 5277 in Program.cs"
"/api/v1/admin/streaming/stop","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Closed","High","10","Security Engineering","2026-07-21","Closed","EV-ENDP-0002","RiskTier=High; RiskScore=10; MatrixStatus=Pending; Source line 5308 in Program.cs"
"/api/v1/admin/streaming/upload","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Closed","High","10","Security Engineering","2026-07-21","Closed","EV-ENDP-0003","RiskTier=High; RiskScore=10; MatrixStatus=Pending; Source line 5384 in Program.cs"
"/api/v1/admin/sessions/compliance-evidence/export/json","GET","Sensitive","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Closed","High","9","Security Engineering","2026-07-21","Closed","EV-ENDP-0004","RiskTier=High; RiskScore=9; MatrixStatus=Pending; Source line 6574 in Program.cs"
"/api/v1/admin/data/synthetic/reset","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Closed","High","8","Security Engineering","2026-07-21","Closed","EV-ENDP-0005","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 5449 in Program.cs"
"/api/v1/admin/data/synthetic/seed","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Closed","High","8","Security Engineering","2026-07-21","Closed","EV-ENDP-0006","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 5603 in Program.cs"
"/api/v1/admin/external-provider/executive-packet/automation/run","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Closed","High","8","Security Engineering","2026-07-21","Closed","EV-ENDP-0007","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 5341 in Program.cs"
"/api/v1/admin/ics-positions","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Closed","High","8","Security Engineering","2026-07-21","Closed","EV-ENDP-0008","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 6188 in Program.cs"
"/api/v1/admin/ics-positions/{icsPositionId:int}","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Closed","High","8","Security Engineering","2026-07-21","Closed","EV-ENDP-0009","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 6258 in Program.cs"
"/api/v1/admin/ics-positions/{icsPositionId:int}/nims-standard","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Closed","High","8","Security Engineering","2026-07-21","Closed","EV-ENDP-0010","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 6338 in Program.cs"
