"Endpoint","Method","DataClasses","AuthorizationPolicy","IncludedSensitiveFields","ExcludedSensitiveFields","RedactionVerified","AuditCoverageVerified","Reviewer","ReviewDateUtc","Decision","RiskTier","RiskScore","Owner","DueDateUtc","RemediationStatus","EvidenceRef","Notes"
"/api/v1/agent/personalization","POST","Operational","AuthorizationPolicies.ResourceReporter","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","6","Application Engineering","2026-07-28","Open-Review","EV-ENDP-0027","RiskTier=Medium; RiskScore=6; MatrixStatus=Pending; Source line 2202 in Program.cs"
"/api/v1/agent/personalization/policy","PUT","Operational","AuthorizationPolicies.ResourceReporter","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","6","Application Engineering","2026-07-28","Open-Review","EV-ENDP-0028","RiskTier=Medium; RiskScore=6; MatrixStatus=Pending; Source line 2138 in Program.cs"
"/api/v1/incidents/{incidentId:long}/after-action/evidence/export/json","GET","Sensitive|Operational","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","6","Application Engineering","2026-07-28","Open-Review","EV-ENDP-0032","RiskTier=Medium; RiskScore=6; MatrixStatus=Pending; Source line 4651 in Program.cs"
"/api/v1/incidents/{incidentId:long}/communications/evidence/export/csv","GET","Sensitive|Operational","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","6","Application Engineering","2026-07-28","Open-Review","EV-ENDP-0033","RiskTier=Medium; RiskScore=6; MatrixStatus=Pending; Source line 3121 in Program.cs"
"/api/v1/incidents/{incidentId:long}/iap-packet/export/json","GET","Sensitive|Operational","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","6","Application Engineering","2026-07-28","Open-Review","EV-ENDP-0034","RiskTier=Medium; RiskScore=6; MatrixStatus=Pending; Source line 4364 in Program.cs"
"/api/v1/incidents/{incidentId:long}/iap-packet/export/print","GET","Sensitive|Operational","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","6","Application Engineering","2026-07-28","Open-Review","EV-ENDP-0035","RiskTier=Medium; RiskScore=6; MatrixStatus=Pending; Source line 4445 in Program.cs"
"/api/v1/incidents/{incidentId:long}/command-assignments","PUT","Sensitive|Operational","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","5","Application Engineering","2026-07-28","Open-Review","EV-ENDP-0046","RiskTier=Medium; RiskScore=5; MatrixStatus=Pending; Source line 4143 in Program.cs"
"/api/v1/incidents/{incidentId:long}/communications","POST","Sensitive|Operational","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","5","Application Engineering","2026-07-28","Open-Review","EV-ENDP-0047","RiskTier=Medium; RiskScore=5; MatrixStatus=Pending; Source line 3267 in Program.cs"
"/api/v1/incidents/{incidentId:long}/communications/{incidentCommunicationId:long}","POST","Sensitive|Operational","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","5","Application Engineering","2026-07-28","Open-Review","EV-ENDP-0048","RiskTier=Medium; RiskScore=5; MatrixStatus=Pending; Source line 3326 in Program.cs"
"/api/v1/incidents/{incidentId:long}/objectives","POST","Sensitive|Operational","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","5","Application Engineering","2026-07-28","Open-Review","EV-ENDP-0049","RiskTier=Medium; RiskScore=5; MatrixStatus=Pending; Source line 4044 in Program.cs"
