"Endpoint","Method","DataClasses","AuthorizationPolicy","IncludedSensitiveFields","ExcludedSensitiveFields","RedactionVerified","AuditCoverageVerified","Reviewer","ReviewDateUtc","Decision","RiskTier","RiskScore","Owner","DueDateUtc","RemediationStatus","EvidenceRef","Notes"
"/api/v1/admin/sessions/compliance-evidence/export/json","GET","Sensitive","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","9","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0004","RiskTier=High; RiskScore=9; MatrixStatus=Pending; Source line 6574 in Program.cs"
"/api/v1/admin/data/synthetic/reset","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0005","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 5449 in Program.cs"
"/api/v1/admin/data/synthetic/seed","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0006","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 5603 in Program.cs"
"/api/v1/admin/external-provider/executive-packet/automation/run","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0007","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 5341 in Program.cs"
"/api/v1/admin/ics-positions","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0008","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 6188 in Program.cs"
"/api/v1/admin/ics-positions/{icsPositionId:int}","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0009","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 6258 in Program.cs"
"/api/v1/admin/ics-positions/{icsPositionId:int}/nims-standard","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0010","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 6338 in Program.cs"
"/api/v1/admin/locations/{locationId:long}/active","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0011","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 5992 in Program.cs"
"/api/v1/admin/locations/{locationId:long}/geo","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0012","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 6032 in Program.cs"
"/api/v1/admin/locations/{locationId:long}/geocode","POST","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0013","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 6090 in Program.cs"
"/api/v1/admin/sessions/{userSessionId:long}/impersonate/start","POST","Sensitive","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0014","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 6433 in Program.cs"
"/api/v1/admin/sessions/{userSessionId:long}/impersonate/stop","POST","Sensitive","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0015","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 6510 in Program.cs"
"/api/v1/admin/sessions/{userSessionId:long}/terminate","POST","Sensitive","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0016","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 6393 in Program.cs"
"/api/v1/admin/users","POST","Sensitive","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0017","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 5855 in Program.cs"
"/api/v1/admin/users/{userId:long}/active","POST","Sensitive","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Security Engineering","2026-07-21","Open-Remediation","EV-ENDP-0018","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 5937 in Program.cs"
"/api/v1/admin/streaming/status","GET","Operational","AuthorizationPolicies.LookupAdmin","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","7","Security Engineering","2026-07-28","Open-Review","EV-ENDP-0026","RiskTier=Medium; RiskScore=7; MatrixStatus=Pending; Source line 5270 in Program.cs"
"/api/v1/auth/audit/login","POST","Sensitive","RequireAuthorization()","<to-validate>","<to-validate>","Partial","Yes","Auto-Prioritized","2026-07-14","In Review","Medium","6","Security Engineering","2026-07-28","Open-Review","EV-ENDP-0029","RiskTier=Medium; RiskScore=6; MatrixStatus=In Progress; Source line 1596 in Program.cs"
