"EvidenceId","ControlId","Domain","ArtifactName","ArtifactLocation","Owner","CollectedUtc","ValidUntilUtc","ReviewCadence","Status","Notes"
"EV-ENDP-0001","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/streaming/start","security-compliance/evidence/endpoint/EV-ENDP-0001.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0002","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/streaming/stop","security-compliance/evidence/endpoint/EV-ENDP-0002.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0003","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/streaming/upload","security-compliance/evidence/endpoint/EV-ENDP-0003.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0004","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - GET /api/v1/admin/sessions/compliance-evidence/export/json","security-compliance/evidence/endpoint/EV-ENDP-0004.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0005","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/data/synthetic/reset","security-compliance/evidence/endpoint/EV-ENDP-0005.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0006","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/data/synthetic/seed","security-compliance/evidence/endpoint/EV-ENDP-0006.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0007","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/external-provider/executive-packet/automation/run","security-compliance/evidence/endpoint/EV-ENDP-0007.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0008","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/ics-positions","security-compliance/evidence/endpoint/EV-ENDP-0008.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0009","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/ics-positions/{icsPositionId:int}","security-compliance/evidence/endpoint/EV-ENDP-0009.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0010","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/ics-positions/{icsPositionId:int}/nims-standard","security-compliance/evidence/endpoint/EV-ENDP-0010.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0011","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/locations/{locationId:long}/active","security-compliance/evidence/endpoint/EV-ENDP-0011.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
"EV-ENDP-0012","PRI-01","Minimum Necessary / Data Minimization","Endpoint review evidence - POST /api/v1/admin/locations/{locationId:long}/geo","security-compliance/evidence/endpoint/EV-ENDP-0012.md","Security Engineering","2026-07-14","2026-10-12","Quarterly","Approved","Auto-linked from endpoint remediation ledger. Decision=Requires Changes"
