"Endpoint","Method","Owner","Decision","RemediationStatus","EvidenceRef","EvidencePath"
"/api/v1/agent/analytics/events","POST","Application Engineering","Closed","Closed","EV-ENDP-0070","security-compliance/evidence/endpoint/EV-ENDP-0070.md"
"/api/v1/agent/chat/completions","POST","Application Engineering","Closed","Closed","EV-ENDP-0071","security-compliance/evidence/endpoint/EV-ENDP-0071.md"
"/api/v1/agent/history","GET","Application Engineering","Closed","Closed","EV-ENDP-0094","security-compliance/evidence/endpoint/EV-ENDP-0094.md"
"/api/v1/agent/personalization","POST","Application Engineering","Closed","Closed","EV-ENDP-0027","security-compliance/evidence/endpoint/EV-ENDP-0027.md"
"/api/v1/agent/personalization/policy","PUT","Application Engineering","Closed","Closed","EV-ENDP-0028","security-compliance/evidence/endpoint/EV-ENDP-0028.md"
"/api/v1/agent/personalization/policy","GET","Application Engineering","Closed","Closed","EV-ENDP-0089","security-compliance/evidence/endpoint/EV-ENDP-0089.md"
"/api/v1/agent/personalization/policy/history","GET","Application Engineering","Closed","Closed","EV-ENDP-0090","security-compliance/evidence/endpoint/EV-ENDP-0090.md"
"/api/v1/agent/planning/predictive-demand-supply","GET","Application Engineering","Closed","Closed","EV-ENDP-0095","security-compliance/evidence/endpoint/EV-ENDP-0095.md"
"/api/v1/agent/planning/predictive-demand-supply/operational-acceptance","GET","Application Engineering","Closed","Closed","EV-ENDP-0096","security-compliance/evidence/endpoint/EV-ENDP-0096.md"
"/api/v1/alerts/","DELETE","Application Engineering","Closed","Closed","EV-ENDP-0073","security-compliance/evidence/endpoint/EV-ENDP-0073.md"
"/api/v1/alerts/","GET","Application Engineering","Closed","Closed","EV-ENDP-0097","security-compliance/evidence/endpoint/EV-ENDP-0097.md"
"/api/v1/alerts/","POST","Application Engineering","Closed","Closed","EV-ENDP-0072","security-compliance/evidence/endpoint/EV-ENDP-0072.md"
"/api/v1/alerts/{alertId:long}","DELETE","Application Engineering","Closed","Closed","EV-ENDP-0074","security-compliance/evidence/endpoint/EV-ENDP-0074.md"
"/api/v1/alerts/{alertId:long}/acknowledge","POST","Application Engineering","Closed","Closed","EV-ENDP-0075","security-compliance/evidence/endpoint/EV-ENDP-0075.md"
"/api/v1/alerts/{notificationId:long}/escalate","POST","Application Engineering","Closed","Closed","EV-ENDP-0076","security-compliance/evidence/endpoint/EV-ENDP-0076.md"
"/api/v1/alerts/{notificationId:long}/recipients","GET","Application Engineering","Closed","Closed","EV-ENDP-0098","security-compliance/evidence/endpoint/EV-ENDP-0098.md"
"/api/v1/alerts/{notificationId:long}/recipients/{notificationRecipientId:long}/acknowledge","POST","Application Engineering","Closed","Closed","EV-ENDP-0077","security-compliance/evidence/endpoint/EV-ENDP-0077.md"
"/api/v1/alerts/{notificationId:long}/recipients/{notificationRecipientId:long}/status","POST","Application Engineering","Closed","Closed","EV-ENDP-0078","security-compliance/evidence/endpoint/EV-ENDP-0078.md"
"/api/v1/alerts/dispatch","POST","Application Engineering","Closed","Closed","EV-ENDP-0079","security-compliance/evidence/endpoint/EV-ENDP-0079.md"
"/api/v1/incidents/","POST","Application Engineering","Closed","Closed","EV-ENDP-0082","security-compliance/evidence/endpoint/EV-ENDP-0082.md"
"/api/v1/incidents/","GET","Application Engineering","Closed","Closed","EV-ENDP-0100","security-compliance/evidence/endpoint/EV-ENDP-0100.md"
"/api/v1/incidents/{incidentId:long}","GET","Application Engineering","Closed","Closed","EV-ENDP-0101","security-compliance/evidence/endpoint/EV-ENDP-0101.md"
"/api/v1/incidents/{incidentId:long}","POST","Application Engineering","Closed","Closed","EV-ENDP-0083","security-compliance/evidence/endpoint/EV-ENDP-0083.md"
"/api/v1/incidents/{incidentId:long}/activate","POST","Application Engineering","Closed","Closed","EV-ENDP-0084","security-compliance/evidence/endpoint/EV-ENDP-0084.md"
"/api/v1/incidents/{incidentId:long}/after-action/evidence/export/json","GET","Application Engineering","Closed","Closed","EV-ENDP-0032","security-compliance/evidence/endpoint/EV-ENDP-0032.md"
"/api/v1/incidents/{incidentId:long}/close","POST","Application Engineering","Closed","Closed","EV-ENDP-0085","security-compliance/evidence/endpoint/EV-ENDP-0085.md"
"/api/v1/incidents/{incidentId:long}/command-assignments","PUT","Application Engineering","Closed","Closed","EV-ENDP-0046","security-compliance/evidence/endpoint/EV-ENDP-0046.md"
"/api/v1/incidents/{incidentId:long}/command-assignments","GET","Application Engineering","Closed","Closed","EV-ENDP-0091","security-compliance/evidence/endpoint/EV-ENDP-0091.md"
"/api/v1/incidents/{incidentId:long}/command-assignments/{icsPositionId:int}","DELETE","Application Engineering","Closed","Closed","EV-ENDP-0086","security-compliance/evidence/endpoint/EV-ENDP-0086.md"
"/api/v1/incidents/{incidentId:long}/communications","GET","Application Engineering","Closed","Closed","EV-ENDP-0102","security-compliance/evidence/endpoint/EV-ENDP-0102.md"
"/api/v1/incidents/{incidentId:long}/communications","POST","Application Engineering","Closed","Closed","EV-ENDP-0047","security-compliance/evidence/endpoint/EV-ENDP-0047.md"
"/api/v1/incidents/{incidentId:long}/communications/{incidentCommunicationId:long}","POST","Application Engineering","Closed","Closed","EV-ENDP-0048","security-compliance/evidence/endpoint/EV-ENDP-0048.md"
"/api/v1/incidents/{incidentId:long}/communications/evidence/export/csv","GET","Application Engineering","Closed","Closed","EV-ENDP-0033","security-compliance/evidence/endpoint/EV-ENDP-0033.md"
"/api/v1/incidents/{incidentId:long}/communications/lifecycle-summary","GET","Application Engineering","Closed","Closed","EV-ENDP-0092","security-compliance/evidence/endpoint/EV-ENDP-0092.md"
"/api/v1/incidents/{incidentId:long}/iap-governance/evidence/json","GET","Application Engineering","Closed","Closed","EV-ENDP-0093","security-compliance/evidence/endpoint/EV-ENDP-0093.md"
"/api/v1/incidents/{incidentId:long}/iap-packet","GET","Application Engineering","Closed","Closed","EV-ENDP-0103","security-compliance/evidence/endpoint/EV-ENDP-0103.md"
"/api/v1/incidents/{incidentId:long}/iap-packet/export/json","GET","Application Engineering","Closed","Closed","EV-ENDP-0034","security-compliance/evidence/endpoint/EV-ENDP-0034.md"
"/api/v1/incidents/{incidentId:long}/iap-packet/export/print","GET","Application Engineering","Closed","Closed","EV-ENDP-0035","security-compliance/evidence/endpoint/EV-ENDP-0035.md"
"/api/v1/incidents/{incidentId:long}/iap-packet/print","GET","Application Engineering","Closed","Closed","EV-ENDP-0104","security-compliance/evidence/endpoint/EV-ENDP-0104.md"
"/api/v1/incidents/{incidentId:long}/ics-201","GET","Application Engineering","Closed","Closed","EV-ENDP-0105","security-compliance/evidence/endpoint/EV-ENDP-0105.md"
"/api/v1/incidents/{incidentId:long}/ics-202","GET","Application Engineering","Closed","Closed","EV-ENDP-0106","security-compliance/evidence/endpoint/EV-ENDP-0106.md"
"/api/v1/incidents/{incidentId:long}/ics-203","GET","Application Engineering","Closed","Closed","EV-ENDP-0107","security-compliance/evidence/endpoint/EV-ENDP-0107.md"
"/api/v1/incidents/{incidentId:long}/ics-204","GET","Application Engineering","Closed","Closed","EV-ENDP-0108","security-compliance/evidence/endpoint/EV-ENDP-0108.md"
"/api/v1/incidents/{incidentId:long}/ics-205","GET","Application Engineering","Closed","Closed","EV-ENDP-0109","security-compliance/evidence/endpoint/EV-ENDP-0109.md"
"/api/v1/incidents/{incidentId:long}/ics-209","GET","Application Engineering","Closed","Closed","EV-ENDP-0110","security-compliance/evidence/endpoint/EV-ENDP-0110.md"
"/api/v1/incidents/{incidentId:long}/ics-214","GET","Application Engineering","Closed","Closed","EV-ENDP-0111","security-compliance/evidence/endpoint/EV-ENDP-0111.md"
"/api/v1/incidents/{incidentId:long}/ics-215","GET","Application Engineering","Closed","Closed","EV-ENDP-0112","security-compliance/evidence/endpoint/EV-ENDP-0112.md"
"/api/v1/incidents/{incidentId:long}/objectives","POST","Application Engineering","Closed","Closed","EV-ENDP-0049","security-compliance/evidence/endpoint/EV-ENDP-0049.md"
"/api/v1/incidents/{incidentId:long}/objectives","GET","Application Engineering","Closed","Closed","EV-ENDP-0113","security-compliance/evidence/endpoint/EV-ENDP-0113.md"
"/api/v1/incidents/{incidentId:long}/objectives/{incidentObjectiveId:long}","POST","Application Engineering","Closed","Closed","EV-ENDP-0050","security-compliance/evidence/endpoint/EV-ENDP-0050.md"
"/api/v1/incidents/{incidentId:long}/operational-periods","POST","Application Engineering","Closed","Closed","EV-ENDP-0051","security-compliance/evidence/endpoint/EV-ENDP-0051.md"
"/api/v1/incidents/{incidentId:long}/operational-periods","GET","Application Engineering","Closed","Closed","EV-ENDP-0114","security-compliance/evidence/endpoint/EV-ENDP-0114.md"
"/api/v1/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}","POST","Application Engineering","Closed","Closed","EV-ENDP-0052","security-compliance/evidence/endpoint/EV-ENDP-0052.md"
"/api/v1/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}/approve","POST","Application Engineering","Closed","Closed","EV-ENDP-0053","security-compliance/evidence/endpoint/EV-ENDP-0053.md"
"/api/v1/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}/reopen","POST","Application Engineering","Closed","Closed","EV-ENDP-0054","security-compliance/evidence/endpoint/EV-ENDP-0054.md"
"/api/v1/incidents/{incidentId:long}/resources","POST","Application Engineering","Closed","Closed","EV-ENDP-0055","security-compliance/evidence/endpoint/EV-ENDP-0055.md"
"/api/v1/incidents/{incidentId:long}/resources","GET","Application Engineering","Closed","Closed","EV-ENDP-0115","security-compliance/evidence/endpoint/EV-ENDP-0115.md"
"/api/v1/incidents/{incidentId:long}/situation-reports","GET","Application Engineering","Closed","Closed","EV-ENDP-0117","security-compliance/evidence/endpoint/EV-ENDP-0117.md"
"/api/v1/incidents/{incidentId:long}/situation-reports","POST","Application Engineering","Closed","Closed","EV-ENDP-0057","security-compliance/evidence/endpoint/EV-ENDP-0057.md"
"/api/v1/incidents/{incidentId:long}/tasks","POST","Application Engineering","Closed","Closed","EV-ENDP-0058","security-compliance/evidence/endpoint/EV-ENDP-0058.md"
"/api/v1/incidents/{incidentId:long}/tasks","GET","Application Engineering","Closed","Closed","EV-ENDP-0118","security-compliance/evidence/endpoint/EV-ENDP-0118.md"
"/api/v1/incidents/{incidentId:long}/tasks/{incidentTaskId:long}/assignment","POST","Application Engineering","Closed","Closed","EV-ENDP-0059","security-compliance/evidence/endpoint/EV-ENDP-0059.md"
"/api/v1/incidents/{incidentId:long}/tasks/{incidentTaskId:long}/status","POST","Application Engineering","Closed","Closed","EV-ENDP-0060","security-compliance/evidence/endpoint/EV-ENDP-0060.md"
"/api/v1/incidents/{incidentId:long}/timeline","GET","Application Engineering","Closed","Closed","EV-ENDP-0119","security-compliance/evidence/endpoint/EV-ENDP-0119.md"
"/api/v1/incidents/{incidentId:long}/timeline","POST","Application Engineering","Closed","Closed","EV-ENDP-0061","security-compliance/evidence/endpoint/EV-ENDP-0061.md"
"/api/v1/incidents/dashboard-summary","GET","Application Engineering","Closed","Closed","EV-ENDP-0120","security-compliance/evidence/endpoint/EV-ENDP-0120.md"
