"Endpoint","Method","DataClasses","AuthorizationPolicy","IncludedSensitiveFields","ExcludedSensitiveFields","RedactionVerified","AuditCoverageVerified","Reviewer","ReviewDateUtc","Decision","RiskTier","RiskScore","Owner","DueDateUtc","RemediationStatus","EvidenceRef","Notes"
"/api/v1/beds/import/availability","POST","Operational|Potential-PHI","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Platform Engineering","2026-07-21","Open-Remediation","EV-ENDP-0019","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 7411 in Program.cs"
"/api/v1/beds/import/availability/csv","POST","Operational|Potential-PHI","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Platform Engineering","2026-07-21","Open-Remediation","EV-ENDP-0020","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 7473 in Program.cs"
"/api/v1/beds/import/availability/csv/reject-report","POST","Operational|Potential-PHI","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Platform Engineering","2026-07-21","Open-Remediation","EV-ENDP-0021","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 7549 in Program.cs"
"/api/v1/beds/import/availability/fhir","POST","Operational|Potential-PHI","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Platform Engineering","2026-07-21","Open-Remediation","EV-ENDP-0022","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 7590 in Program.cs"
"/api/v1/resources/import/inventory","POST","Operational|Potential-PHI","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Platform Engineering","2026-07-21","Open-Remediation","EV-ENDP-0023","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 6845 in Program.cs"
"/api/v1/resources/import/inventory/csv","POST","Operational|Potential-PHI","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Platform Engineering","2026-07-21","Open-Remediation","EV-ENDP-0024","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 6907 in Program.cs"
"/api/v1/resources/import/inventory/csv/reject-report","POST","Operational|Potential-PHI","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","Requires Changes","High","8","Platform Engineering","2026-07-21","Open-Remediation","EV-ENDP-0025","RiskTier=High; RiskScore=8; MatrixStatus=Pending; Source line 6983 in Program.cs"
"/api/v1/incidents/{incidentId:long}/resources/evidence/export/csv","GET","Sensitive|Operational","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","6","Platform Engineering","2026-07-28","Open-Review","EV-ENDP-0036","RiskTier=Medium; RiskScore=6; MatrixStatus=Pending; Source line 3388 in Program.cs"
"/api/v1/incidents/{incidentId:long}/resources/lifecycle-evidence/export/json","GET","Sensitive|Operational","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","6","Platform Engineering","2026-07-28","Open-Review","EV-ENDP-0037","RiskTier=Medium; RiskScore=6; MatrixStatus=Pending; Source line 3495 in Program.cs"
"/api/v1/resources/regional-rollups/export/csv","GET","Operational","Endpoint-specific review required","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","6","Platform Engineering","2026-07-28","Open-Review","EV-ENDP-0038","RiskTier=Medium; RiskScore=6; MatrixStatus=Pending; Source line 7041 in Program.cs"
